,File,Category,skills,education
174,30968749.pdf,ARTS,experience dealing optimization complex processes systems well providing steel framing solutions nresidential commercial applications skills demonstrated years nexperience skills ncertification experience software platforms n nsoftware skills n nprocess improvement n nteam player n nmechanical design experience nlead designer skills used skills used skills n nadobe photoshop autocad blueprints budget cad charts cost analysis funds layout leadership lingo logo mathcad meetings nexcel ms office power point word minitab presentations progress simulation six sigma solidworks vertex view visual basic,university city state n nindustrial engineering n nmember
175,29524570.pdf,AUTOMOBILE,skills nwork history nweb designer n nand database designer skills nasp,university banglore india university glasgow embedded system cx university
176,27529455.pdf,ADVOCATE,experience ncompany name may september instructional designer ncity state n nresponsible designing developing course modules university working instructors internal subject matter experts skills nacademic adobe backup coaching conferences counseling course development crystal reports curriculum design curriculum development ncustomer service customer service data entry designing direction documentation information mapping instruction instructor instructional ndesign knowledge management team leader lesson plans managing materials math meetings mentoring ms word works multimedia needs nanalysis order entry organizational policies writing prescriptions processes progress project management quality quick reading sales nsupply chain task analysis teacher technical writing user documentation phone trainer training materials training manuals training programs ntutoring website workshops,university memphis doctor education university phoenix master arts university memphis bachelor science university working instructors internal subject matter experts
177,26942552.pdf,ACCOUNTANT,skills npersuasive communication nprospect qualification nretention strategies n nexceptional customer service nsales n nwork history nsales consultant interior designer skills n npersuasive communication nprospect qualification nretention strategies n nexceptional customer service nsales n nwork history nsales consultant interior designer,university
178,26046064.pdf,ARTS,experience n skills n nexpert knowledge following software programs,college
179,44145704.pdf,ARTS,experience nproject manager skills n n skills n n,university city state united states nof america n ncurriculum design instruction specializing literacy n nbachelors arts university city state united states america n nenglish minor french n nskills n n
180,37263609.pdf,ARTS,experience demonstrating consistency outstanding work design oriented environment experience narchitectural designer company name city state n norganized projects ordance bim standards ndiscussed design standards procedures directors design architecture skills n npersonal skills solve complex problems skills manage complex project team n nqualifications,university illinois urbana university puerto rico city state usa gpa
181,37058472.pdf,ARTS,experience thrives dynamically changing environments experience n skills creation ff skills n nautocad drafting n n rendering n nmaterial board n ncommunication skills n nconceptual design n nmaterial organizational,college
182,37695494.pdf,APPAREL,experience fine jewelry cad designer experience illustrator jewelry designer experience nmay september ncompany name city state fine jewelry cad designer n ncreate original complex cad designs stock neiman marcus skills n adobe creative suite photo ad arts attention detail cad,university arts london ncity england high college ncity state fine arts drawing jewelry technology nassociate arts fine arts drawing jewelry technology njune nnavy education university ncity china bachelor fine arts audio
183,35990852.pdf,ACCOUNTANT,skills n nvisual studio experience nwebsite designer experience led happier users skills,university maryland
184,38565119.pdf,ARTS,skills n nspace planning nworkplace strategy nproject coordination nff skills nspace planning nworkplace strategy nproject coordination nff,university science technology
185,76010167.pdf,ARTS,skills experience ndesigner skills nphoto advertising arabic artist arts art agency basic good communication skills computer literate creativity database dec designing neconomics english filling french languages leadership skills math ess excel ms office powerpoint word organizing paint nphysics pos selling time management typing skills world wide web nadditional information,university dubai
186,78149576.pdf,AGRICULTURE,skills nbillings cash handling cashier creativity customer service magic pick pos nexperience njan current ncompany name,college nfront range community college working towards floral design certificate spring nassociates horticulture fall front range community college horticulture nspring colorado state university nhigh school diploma spring fossil ridge high school
187,39252859.pdf,ARTS,skill set includes designing concept way production high skill applications mac pc operating nsystems skills n nchildren experience ncreative graphic designer apr feb ncompany name skills n acrobat adobe cs advertising artist art book design branding brochures cad catalogs catalog concept creative design client nclients edit graphic designer graphics design graphics graphic instruction ie marketing marketing collateral marketing materials marketing nand sales microsoft office packaging design package design photography posters prepress presentations print production publication nquality radio technical illustration training material web graphics author written communication,
188,62312955.pdf,APPAREL,skills n ndigital illustration art concepts print fabric web applications using adobe creative suite experience ngraphic artist designer ncity state company name,college city state usa
189,37664296.pdf,ACCOUNTANT,experience agile waterfall environments skill highlights nadobe creative suite ntarget process nhtml skills nproduct development nself experience nlead ux experience brand ndaily collaboration designers scrum master ba dev qa po across two products experience experience experience ux skill requirements skills nadobe ads branding business operations business solutions concept consulting creative direction creative director entrepreneur nfireworks graphic ux html interactive design lab testing logo marketing multimedia page pencil posters presentations product nmanagement prototyping quality search engine optimization sketching strategy strategy planning phone usability testing user interface user ninterface,degree colorado institute art university university
190,81011612.pdf,BUSINESS-DEVELOPMENT,experience ngraphic designer naugust march company name skills n n photoshop advertising animation business management chemistry computer networking customer service database analysis designing ngraphic basic html illustrator inventory management inventory materials microsoft office nmr payroll pos profit coding sales nscheduling sql server,college university california los angeles
191,51018476.pdf,ARTS,experience nnx skills n ncad software,college owosso college owosso
192,39434376.pdf,ADVOCATE,skill areas n ncreative nrelational nengaging npainting experience ncompany name september current graphic designer illustrator ncity state custom paper company designing primarily wedding correspondence ncompany name may august sigma counselor ncity state ncompany name june july counselor ncity state neducation nbriarwood fellows program post graduate leadership program city state nsamford university bachelor science skills nspanish nadditional information n ncamp kivu,university bachelor science
193,41506705.pdf,ARTS,experience across project life cycle including research development manufacturing nproject leadership skills ncreative thinking n nexperience nmechanical designer experience cad modeling skills nautodesk skills cnc customer support drafting engineer ninstruction inventory laser lathe linux lotus notes mapics materials mechanical microsoft office windows operating systems pdm npersonnel polish processes programming project management red hat revit sales shipping solidworks technical management user ntraining,degree computer aided drafting college city state
194,67645662.pdf,ARTS,experience nosp engineering designer experience field work drafting sales ounts nmanaging looking position combine knowledge sales ount manager telecom skills n n n nautocad cad cold calling contracts clientele client clients customer service customer service specialist decision,
195,39776400.pdf,ARTS,experience working manufacturing advanced technology industries designing detailing assembling debugging utilizing strong nmachine shop background experience includes experience release solidworks experience release plus certified trained experience skills nnegotiation skills n nexperience nsr skills n n assistant manager autocad backup cad concept drafting features file management functional drawing machining director nmechanical modeling packaging pdf process engineering sap solidworks transportation trouble,college city state united states n nmachine drafting technology n nskills n n assistant manager autocad backup cad concept drafting features file management functional drawing machining director nmechanical modeling packaging pdf process engineering sap solidworks transportation trouble
196,68240723.pdf,ADVOCATE,skills aims towards commitment team consumer skills n ncritical thinker experience ndesigner skills n nmerchandising n ncreating line sheets,
197,36269672.pdf,BANKING,skills day day operations problem nsolving training employee motivations encouragement merchandising ordering product every aspect human resources nresponsible know implement retail establishment employed time service n nhighlights neffective retail sales manager nexceptional leader nexcellent communication skills ncompelling leadership skills nresolution experience n,
198,51681660.pdf,AGRICULTURE,experience nproduction designer jul aug ncompany name skills n naftereffects photo photoshop ad art avid budget drafting edit film lighting director excel powerpoint ms word natural composer nnext camera profit quick learner reality safety scheduling sketching website,
199,38744475.pdf,ARTS,experience ninterior designer skills little direct supervision skills n nadobe creative suite nautocad nplanograms,degree university central florida city state united states n n n nwinner juried art show hosted new america foundation college city state nlanguages nenglish
200,85101052.pdf,AUTOMOBILE,experience software developer java experience agile development n experience ntechnical designer nfebruary current company name skills nasset management automation business systems c controller client database designing eclipse eclipse engineer english ejb xml nfeatures focus hindi java java,
201,67582956.pdf,AUTOMOBILE,experience designs environmentally skills demonstrated experience nproject designer skills n autocad design software detail,university city state n nhealthcare management n ncoursework healthcare management n nbachelor science university city state usa n ncoursework university city state usa n ncoursework
202,42384185.pdf,ARTS,experience n skills n modeling ds max adobe adobe effects adobe photoshop automotive cms sc client cvs direction dreamweaver nflash graphic html http adobe illustrator image lighting mac market maya mechanical meetings microsoft office powerpoint nwindows platform modeling optimization packaging painting camera presentations rendering selling softimage solidworks staff ndevelopment supervision web development graphic design website,college suwalki college suwalki
203,44185767.pdf,ADVOCATE,skills including pre experience multiple top skill levels ncreated comprehensive business development strategy change management program global erp implementation nproject manager hours experience various information management communication projects nexceeded sales quota experience nsolution designer skills nagile application development army business strategy c consultant consulting cost analysis client clients delivery direction erp focus nfunctional government information systems itil team lead legal market microwave enterprise network networks personnel process ndesign processes recruiting routers sales sales support sap sdlc staffing strategic switches system integration technical support ntroubleshooting workshops,university city state ncoursework information management business administation nminor education nskills nagile application development army business strategy c consultant consulting cost analysis client clients delivery direction erp focus nfunctional government information systems itil team lead legal market microwave enterprise network networks personnel process ndesign processes recruiting routers sales sales support sap sdlc staffing strategic switches system integration technical support ntroubleshooting workshops
204,54201930.pdf,ARTS,experience njanuary nto ncurrent ncompany name city state graphic designer n nrestaurant consulting skills nmarketing clients ads basis sales translated solutions advertising brand identity budgets dreamweaver flash freehand hansen nillustration illustrator indesign logo design photoshop premier prepress promotional web design pr public relations graphic design ncorporate communications packaging point purchase pop proofreading branding content management copy writing event planning nfront desk marketing collateral marketing strategy receptionist san storage area network tradeshow translating web content nmanagement,
205,93301686.pdf,ARTS,experience facets training professional development design nimplementation experience nlead instructional designer skills n modeling army basic budget analysis bi drivers driving editing instructor job analysis listening mechanical excel microsoft office noffice outlook power point powerpoint presentations window word ms word weapons navy naval program management research nsafety scheduling spreadsheets supervisor task analysis technical manuals trainer training programs transportation upgrading vision,college reditation team management instructor student testing records university city state professional aeronautics ncertifications ntraining education developers middle managers course
206,91153752.pdf,ADVOCATE,experience architecture move forward new career user experience nfreelance ux experience design n nfreelance ux researcher ncity state company name experience design ndeliverable included heuristic evaluation current site competitive research persona creation site map low high experience design certificate honors skills n nsketch illustrator photoshop indesign invision omnigraffle html effects keynote revit rhino autocad watercolor nbluebeam design thinking ui,college users furniture consultants improve users university imeche student chapter n nestablished st imeche university michigan city state us nbachelor engineering university nottingham city uk ncertificates honors n nuser experience design certificate honors
207,90066849.pdf,ARTS,experience home health hospice nepic home health application years experience involved validation workflow design build testing clinical break experience array epic functionality including nfacility profile experience home health hospice n nfull project experience experience every version nhome health since including releases nknowledge home care hospice regulations nincluding oasis physicians experience expertise n napplication coordinator experience ninstructional designer feb current ncompany name,university phoenix
208,94417768.pdf,ARTS,experience eye future functional marketability skills n nautocad proficient nsolid works solid modeling ncomplex problem solving ntechnical problem skills nart assembly autocad brochure computer literate databases debugging product design desktop publishing drafting estimating freehand ndrawing layout design layout logos director marketing materials mathematics mechanical works modeling personnel processes nresearching routing sales shipping sketching spreadsheets website development word processing nadditional information n nmember national honor society varsity wrestling cross country baseball rotary october boy month outside interests family nhusband father three children five grandchildren church lay leader administrative council member,college city state nassociate arts college technology part college technology part
209,10480456.pdf,ADVOCATE,skill highlights nskill set skills experience open innovation licensing outsourcing skills experience ndirector new product research r skills matrix ltd skills nhealthcare marketing claims product development transmissions ada business development fda patent class comprehensive large narray data stewardship system budgeting liaison project planning technical support associate marketing chemistry qa metrics n n n nvisualization business cases cases due diligence brand marketing consumer products laboratory training non,college npa university massachusetts amherst university delaware city state us university delaware department nchemistry biochemistry newark de ph university delaware city state us university delaware department nchemistry biochemistry newark de college city state us franklin marshall college lancaster npa b
210,12315079.pdf,ACCOUNTANT,skill highlights nleadership skills nbusiness operations organization nclient ount management nbudgeting expertise nnegotiations expert nemployee relations nself experience ndirector national sales experience increasing sales margins within hospital dental clinics skilled nursing centers nmedical equipment healthcare services segments,university
211,10076271.pdf,ACCOUNTANT,experience n skills n nmicrosoft office,university university
212,12333703.pdf,ARTS,experience ncompany name city state facility manager skills na ounts payable art audio read blueprints book budget cash register closing cost control crisis intervention customer service delivery nhvac inventory regulatory compliance managing materials mechanical organizing camera plumbing pos problem solver procurement nproject management receiving renovation renovations retail retail sales safety scheduling staffing stress management supervising ntroubleshooting utilities video wiring,college city state liberal arts ntrade certificate
213,10466208.pdf,ARTS,skills n nproven administrative highly organized nleadership support event planning nentrepreneurial conflict public speaking nmindset resolution project staffing nteam leadership reporting nself directed documentation noutbound calling prospecting na ount management nacquisitions nadministrative ncontracts nclientele ncustomer satisfaction ncustomer nssatisfaction ndecision making n ndocumentation nevent planning ninventory nteam leadership nleadership ndirector nmanaging nmarketing plans nmarketing nmarket nmergers ncommunicator norganizational skills nproblem experience generate loyal clientele resolved customer complaints professional manner nprioritizing customer satisfaction experience generate loyal clientele resolved customer complaints professional manner nprioritizing customer satisfaction skills n na ount management acquisitions administrative contracts clientele customer satisfaction customer nssatisfaction decision making documentation event planning inventory team leadership leadership director n nmanaging marketing plans marketing market mergers communicator organizational skills problem skills relationship,college
214,10062724.pdf,ADVOCATE,skills n nproficient experience n skills dsm diagnoses rounds nduring home visits co skills provided visit summarization skills classes became lead trained supervised nstaff,college law city state nuniversity southern california city state master social work n ngraduated honors n ncalifornia state university northridge city state bachelor arts
215,10251432.pdf,ACCOUNTANT,skills n norganized ndetail oriented nefficient nprioritize multiple deadlines nwork well independently ncollaborate others nsoftware nmicrosoft word nexcel npowerpoint noutlook nadobe acrobat nmultiple project software websites ngeneral clerical ntype wpm nmultiline phones n nexperience ncorporate administrator njanuary january company name skills na ounting ounts payable adobe acrobat,university n
216,12613221.pdf,AUTOMOBILE,experience seeking opportunity utilize skills knowledge multiple nhealthcare settings positive impact impact patient outcomes experience ncpr certified nneed minimal supervision nanalytical ncritical nehr experience nskills nworks proficiently minimal supervision fluent communication skills demonstrated daily interactions various patient nfamily demographics cpr certified critical thinking working independently patient diagnostic sleep lab disease management ninventory control managing waste reducing duplicate testing medical terminology windows os patient evaluation patient npreparation problem solving strategic planning oxygen education therapy equipment troubleshooting experience nsleep technologist rpsgt skills sharp critical thinking skills diligently work minimal nsupervision skills sharp critical thinking skills diligently work minimal supervision skills nbilling communication skills cpr certified cpr certified critical thinking disease management ehr experience inventory control managing nmedical terminology windows os works patient evaluation patient preparation problem solving respiratory therapy strategic planning nsupervision therapy troubleshooting,university university city state applied associates degree science respiratory therapy graduate valedictorian nrespiratory therapy class university wisconsin city state healthcare information nmanagement
217,13352113.pdf,AUTOMOBILE,experience increasing sales skills ntime management effective communication trouble shooting problem solving cloud technology skype proficient microsoft office suite ninstant messaging web chat negotiating experience nlicensed united healthcare insurance sales agent sep oct ncompany name skills meets exceeds sales goals skills nproduct knowledge gaining customers trust building rapport following adhering hipaa guidelines company policy skills collaboration effective negotiation skills meets exceeds sales goals skills nproduct knowledge also gaining customers trust building rapport following adhering per hipaa guidelines company policy skills napproach banking benefits call center cms client clients customer relations customer satisfaction customer service customer service ntraining customer care pdp email fast goal skills problem solving proposals public skills selling sales seminars telephone time management trouble shooting,college charlotte nc college college
218,11704150.pdf,ACCOUNTANT,experience boosting company su ess experience cam software ninterpersonal written verbal communication nworks well independently team ncompany confidentiality ncapable heavy lifting n nexperience nhome health care provider,college college
219,11378657.pdf,ARTS,experience human resources customer service administrative nsupport skills nfully utilized skills n nexcellent interpersonal hr administrative skills nintermediate experience microsoft office programs nmotivated team member understands value providing urate professional nadmin support n nteam leadership experience ndata management skills nstrong verbal communication skills nadept client needs assessment nanalysis n nwork history napril skills nadministrative skills admin support benefits benefits administration interpersonal credit client hiring hr insurance interpretation excel nmicrosoft office programs powerpoint msword processes radiology recruiting recruitment staffing,university hospital lucile packard nchildren university city state earned credit hours
220,11605833.pdf,ACCOUNTANT,skill highlights experience nmarch current nc air guard health services manager n nsalary skills na ounting business,university mount olive bachelors science business
221,12938200.pdf,ARTS,experience nemergency room admitting specialist skills nbilingual speak read write english spanish fluently,university utah nbachelor university los angeles nexperience nemergency room admitting specialist university utah college social work social work nbachelors summer california state university
222,11653906.pdf,ACCOUNTANT,experience demonstrating strong leadership achieve overall corporate goals objectives fast skill highlights nstrategic planning nbudgeting nmulti skills nprofessional services management ntotal quality management n nprofessional experience ncompany name city state senior director business operations skills n nsalesforce,university massachusetts lowell university massachusetts lowell city state usa nskills n nsalesforce
223,10568183.pdf,ACCOUNTANT,skills n flexibility nreception area management n ndetail experience n,university phoenix college
224,16121387.pdf,ACCOUNTANT,skills nbuilt loyal business relationships patients colleagues physicians families allied healthcare professionals across premier fast experience providing superior patient care serving primary point contact npositively impact patients families community referrals visitors skills nwork history nmedical record technician skills performance based feedback self skills professional handling exposure confidential skills nbusiness operations clerical com interpersonal skills cpr certified customer service databases documentation first aid government nleadership ess excel mail microsoft office outlook powerpoint word monitors organizational process improvement processes nprotocols quality quality improvement reporting six sigma spreadsheet word processing written,college nof healthcare executives builds instant rapport relationships patients university phoenix university
225,20172393.pdf,AUTOMOBILE,experience nproficient microsoft office programs nproficient university michigan systems skills nability learn new databases software processes quickly nmember umhs quality month committee n nprofessional experience naugust nto ncurrent ncompany name city state clinical research coordinator mentor skills naudits quality assurance maintenance database clerical clerk general clerical outpatient clinical trials clinical research audit case nreport case report form collection corrective action corrective action plans data analysis data collection data management ninventory liaison marketing analysis medical records mentor project management training administrative assistant healthcare database nmanagement pivot tables ids oncology regulatory compliance calendar management ordering pediatric reconciliation ess ndatabases excellent organizational skills microsoft office ms office organizational skills,university michigan systems university city state us bachelor business administration university ypsilanti mi certified clinical research professional
226,16702198.pdf,ACCOUNTANT,skills close business experience ncompany name january april key ount manager n nresponsible ounts management hospitals medical centers skills na ount management key ount selling product expertise selling training budget business plans educational programs market ntrends medicaid business development managed care medical device ms excel ms powerpoint ms word new business ndevelopment project management prospecting sales presentations senior sales,university nconnecticut mid state manchester nresponsible coordinating several projects pfizer groton specialty care bu nhand selected specialty care bu lead groton university connecticut medical center nbaystate medical center newington west veterans administrations university bachelor arts university babm boston ncertified medical representative certification
227,15636923.pdf,ADVOCATE,experience formal training business development leadership health fitness skills nleadership nconstruction machinery operation nstrong communication skills ndetail experience ncertified personal trainer nfebruary current company name skills determine necessary patient care skills n ncan lift lbs skills microsoft word power point n nmusic production n nfilm,college
228,17545780.pdf,ACCOUNTANT,skills n nstrong p resentation skills na omplished leader npatient evaluation skills ncharts concise hiring insurance notes marketing office payroll personnel problem solving quality assurance phone nadditional information n nawards,university school medicine
229,17539842.pdf,AUTOMOBILE,skills would fully utilized experience nteacher assistant sep current ncompany name skills participate social recreational therapeutic activities enhanced ninterpersonal skills developed social relationships skills n norganizational skills written communications skills verbal communication skills cultural awareness microsoft typing skills ability focus nefficiency self,college college
230,17963031.pdf,ACCOUNTANT,experience diversified background facilitator contingency planning seasoned information technology leader team nplayer technologist ability evaluate problems develop strategies implement information technology experience developing implementing logistics system support aircraft logistics healthcare management ninformation command control systems skill highlights n nstrong medical ethic nproblem resolution ability n nprofessional experience n experience diagnostics troubleshooting personal computers lan skills nactive directory air force basic bi business processes database management database fsa functional gui instruction java local narea network lan logistics managing materials ess microsoft certified microsoft certified systems engineer mcse windows n enterprise network networks organizational policies program management relational databases risk assessment standard noperation procedure sop supervisor systems analysis design system integration technician telephones troubleshooting unix video nvista xml,university university university computer resource information management ncoursework university edwardsville il community health education n nassociate science southwestern illinois community college nmay nmicrosoft certified systems engeneer mcse
231,18484846.pdf,ARTS,experience ndirector compounding sales specialist njuly march company name skills nadministrative functions basic benefits charts clerical crm client clients firing focus forms insurance inventory issue receipts excel nmoney microsoft office powerpoint powerpoint presentations word nursing organizational patient care observe patients policies pricing npromotion recruitment relationship building reporting selling sales staffing telephones typewriter,college
232,15499825.pdf,ADVOCATE,experience types request relating release information medical record nmanagement skill profile experience njanuary nto ncurrent ncompany name city state health information specialist n nprocess release protected health information health care facilities providers continuation care skills n n n nbilling charts clarify clients dds diagnosis documentation focus government regulations rhit home health insurance law legal managing npatient privacy payroll processing policies coding protected health information quality quality assurance requirement research,college city state associate arts degree
233,18714571.pdf,ACCOUNTANT,skills obtained healthcare industry past eleven years skills experience acquired skill highlights n nadl experience n skills narts assisted living cna coaching customer service financial home health nursing receiving shipping web design nprogramming nadditional information n npersonal work references upon request,degree nart institute college degree
234,16132195.pdf,ARTS,experience fast skill highlights nunderstands medical procedures nunderstands mobility assistance needs ncharting expertise nable lift experience n skills n npatient skills compassionate trustworthy caregiver time management effectively interacts patients nand families preparation healthy meals snacks medical terminology hospice care provider wound care charting record keeping ntime management n ninterests n nmy interest include,
235,13565152.pdf,ACCOUNTANT,experience healthcare management leadership mentor healthcare sales customer service skills willingness flexible schedule company currently required skills n nstaffing management ability nproven patience self experience n skills product knowledge obtain new patientseffectively utilizes crm skill mix sick calls skills nassisted living business development business development develop business business plan business plans negotiating contracts ekg skills sales sales manager scheduling triage vital signs,university dallas university dallas
236,16356151.pdf,ARTS,experience nursing seeking career transition new clinical setting skills forging relationships collaborating interdisciplinary teams develop outstanding care skill name home n patient management npatient assessment nhomecare experience upational health nurse coordinator nseptember may company name skills knowledge guidelines skills good clinical judgment outstanding oral written communication skills skills forging relationships collaborating interdisciplinary teams develop outstanding care support nto facilitate friendly caring environment nexcellent observation clinical skills good clinical judgment outstanding oral written communication skills nexcelled early nursing career rn skills nhealthcare training ess customer service laboratory liaison office management patent education phlebotomy scheduling nteaching telephone voice self,university
237,18949843.pdf,ACCOUNTANT,skill highlights nanalyst skills skills experience nelectronic health record optimization specialist ncompany name skills na ounting adobe adr analyst auditing billing budget development budgets charts contracts cpt crystal reports customer satisfaction ncustomer care data analysis database applications databases edit email financial forms government grants icd,university
238,20110597.pdf,AUTOMOBILE,experience increasing sales skills ntime management effective communication trouble shooting problem solving cloud technology skype proficient microsoft office suite ninstant messaging web chat negotiating experience n skills meets exceeds sales goals skills nproduct knowledge gaining customers trust building rapport following adhering hipaa guidelines company policy skills collaboration effective negotiation skills meets exceeds sales goals skills nproduct knowledge also gaining customers trust building rapport following adhering per hipaa guidelines company policy skill sets ntrouble shooting programming aproach banking atm lock box benefits call center clients customer relations customer service training nemail goal skills policies problem solving proposals public,university charlotte nc business administration n ncompleted various courses seminars customer service call center simulations sales strategies banking terminology teller role college charlotte nc college college
239,17864043.pdf,AUTOMOBILE,experience ncorporate regional recruiter skills nneeded vacancies skills npremier advertisements agency basic business development closing corporate communications client clients databases database ndesigning documentation hiring hris human resources hr letters director market analysis marketing strategies marketing market nmarketing materials media relations meetings works network networking networks newspaper personnel management policies n n n npresentation skills problem solving processes public relations quality rapport recruitment recruiting recruiter selling sales sales planning nspanish staffing statistics strategic strategic planning telephone territory management unique,college recruiting initiatives college staff faculty university city state sociology nlanguages nbilingual spanish nskills npremier advertisements agency basic business development closing corporate communications client clients databases database ndesigning documentation hiring hris human resources hr letters director market analysis marketing strategies marketing market nmarketing materials media relations meetings works network networking networks newspaper personnel management policies n n n npresentation skills problem solving processes public relations quality rapport recruitment recruiting recruiter selling sales sales planning nspanish staffing statistics strategic strategic planning telephone territory management unique
240,13575312.pdf,ACCOUNTANT,experience software development life cycle experience software development life cycle skills nissue resolution nbudgeting nteam oversight nbusiness artifacts documentation nproject finance nmulti skills nagile application design application development approach budget business case business process c c,university georgia college
241,14062078.pdf,ARTS,skill highlights nmicrosoft office word excel powerpoint outlook nprofessional experience n experience emergency medicine health care experience patients skills including communication patient safety medical asepsis abilities provide proper resuscitation skills infants adults skills nacademic acute care anatomy armed forces basic charts oral databases database emergency medicine emotional support english forms ngraphs immunizations information systems insurance medical terminology meetings excel microsoft office outlook microsoft npowerpoint powerpoint power point word microsoft word next nursing upational safety patient care coordinating patient care npatient safety physiology policies presentations protocols public health reporting research resuscitation safety self,college columbus ga gpa college bsn university
242,15680735.pdf,ACCOUNTANT,experience nintegral part fast experience ncompany name city state director clinical research operations skills exceeding ninstitutional skills,university ount territory increasing overall sales university city state united states gpa university city state united states n nminor english n nassociate v
243,20211577.pdf,AUTOMOBILE,experience potential career advancement skill including nknowledge microsoft office skills goal skills nadvanced clerical knowledge nfiling data archiving nmedical billing n na omplishments n nprovided award winning customer service consumer cellular well aarp n nmembers ordering easy use cell phones n nexperience nhealthcare effectiveness information set coordinator skills n ncustomer service delivery faxes filing insurance microsoft office suite management information system reading scheduling technical nsupport technician phones,college work hours
244,17624934.pdf,ACCOUNTANT,skills creative strategic thinker collaborative team builder skill highlights nidentifying experience n ncore omplishments n nsu essfully managed drove highly complex technical organizational transformations countries leading healthcare norganizations nmanagement experience nsenior manager skills n nseasoned healthcare advisor excellent communication skills creative problem solver innovative critical thinker leader change driver,university michigan health system chi nchildren college university
245,19090468.pdf,ACCOUNTANT,experience technical consultant building enterprise skills nproject management n ndata center migration n nsystem intergration n n ncloud computing services n napplication integration skills entry level experience nwith puppet automation tool jumpstart kickstart manage highly distributed global network server skills nadministrative support apache auditing automation backup bash cisco clustering hardware consultant crisis management client data nconversion databases database dell dhcp disaster recovery disaster recovery,university university n ntechnical certification technology
246,18365443.pdf,ACCOUNTANT,experience providing advisory consultative approach financial ntechnology solutions drive improved financial performance skill nlead collaborative effort develop long lasting relationships executive decision skill highlights skills na ounting ounts receivable auditing balance billing business communications business plan client clients client liaison customer service nclient support database delivery financials financial financial consulting financial management focus insurance intellectual property nleadership mentor office nt networking operating systems processes process improvement coding programming project nmanagement proposal quality report writing reporting revenue recognition siemens software engineering sql technical support nprofessional experience nhighly omplished healthcare analyst,university phoenix university hospital
247,18784594.pdf,ACCOUNTANT,skills n ncomplaint handling resolution nself experience njuly current ncompany name city state supervisor n nresponsible daily oversight operations call center monitoring average call handle time skills demonstrated leadership strategic thinker efficient effective problem solving experience contribute meet exceed plan skills qualifications na business professional skills nbilling call center cms client customer service forms hiring insurance inventory meetings office organizational processes protocols nreceptionist reporting safety scheduling six sigma social services telephone transportation,university findlay n n n ninternational business nmba international business nlean six sigma black belt certification nmarch nuniversity michigan nhealth care administration nbachelors science health care administration nmay nmercy college ohio n nassociates science nmay nwayne county community college n nmagna cum laude nactivities honors ni experienced corporate professional years progressive omplishments work history
248,18129173.pdf,ARTS,experience consulting training multifaceted projects developing nimplementing effective promotional techniques facilitating profitable relationships wide range clients key business partners experience n nleadership training nmentoring ncustomer focused n nexperience ncompany name january july marketer skills n nbiotechnology pharmaceutical sales administrative award winner sales professional n nadditional information n ncertifications,university st
249,17960690.pdf,ADVOCATE,skills patient focus experience npharmaceutical sales selling array specialties including general practitioners internal medicine family practice endocrinologist nrheumatologist neurologist obstetrician experience includes nursing experience ranging surgical nassistance care neonatal intensive care unit skills ndeveloped experience nprofessional healthcare representative njuly current company name n n skills nemergency care palliative care patient advocate surgery nadditional information n nactive member junior auxiliary,college college
250,14667957.pdf,ADVOCATE,experience multiple different facilities hospitals experience nfield based nurse chart reviewer skills nregistered nurse healthcare medicare clients quality assurance staffing business operations contracts operations system analysis nworkflow rn secretary assistant director infection control client services root cause analysis medicaid audits cms content nmanagement system federal regulations qa budgets payroll scheduling training managed care teaching,university syracuse university bachelor science
251,20736486.pdf,ACCOUNTANT,experience medical business office operations experience ncompany name skills n nstrong interpersonal skills ncalm level,university city state university city expected
252,28670024.pdf,ADVOCATE,experience skills nflexible skills ngood listening skills n nwork history nhealthcare provider skills correct weaknesses skills n nflexible skills ngood listening skills n nwork history nhealthcare provider skills correct weaknesses,university arizona global campus pursuing master degree health informatics analytics five nyears experience university arizona global campus university university perpetual help
253,24550866.pdf,ACCOUNTANT,experience competitive component resolution drives revenue growth profits operational nperformance skill sets skills n nproven patience self experience njanuary ncompany name city state health systems analyst n nhands experience patient ounting billing managed care claims decision support experience patient ounting billing managed care claims decision support experience contracting hospital physician experience coding systems electronic claims current procedural terminology skills na ounting billing business intelligence cms continuous improvement contracts cpt critical thinking clients customer support data nanalysis decision support drivers financial health information technology icd,university saint francis ncity state nmaster health administration n npfeiffer university ncity state business administration management information systems nbachelor science degree business administration management information systems n n ncertified health information technology
254,23944036.pdf,AUTOMOBILE,experience nnovember september ncompany name city state healthcare clinical analyst n ni entered insurance arena insurance experience su essfully serve leader appeals deparement skills n nadministrative budget cancer chemotherapy database dna fast forms grant writing law marketing mentor processes program nevaluation quality quality assurance qa recruitment research therapy venipunctures,university florida college nnursing nadn n university nhealth education behavioral research nmasters public health n university nspecial student program n university npsychology nba gpa
